F1_CL,F2_CL,F3_CL,F1_CD,F2_CD,F3_CD
0,46,0,80,58,77
0,38,0,86,69,80
0,0,0,72,70,82
0,0,0,89,79,71
0,0,0,87,79,87
0,0,0,88,68,78
0,0,0,87,76,55
0,0,0,60,72,81
0,0,0,70,77,33
0,0,0,83,76,57
0,0,0,83,84,66
0,0,0,87,86,85
0,0,0,92,97,73
4,0,0,81,90,59
14,0,0,85,84,66
3,0,0,81,79,48
0,0,0,60,86,70
0,0,0,69,84,76
0,0,0,86,74,55
0,0,0,77,83,71
0,0,0,71,85,70
22,0,0,77,89,70
13,0,0,75,85,60
28,0,0,2,75,59
18,0,0,0,90,83
12,0,0,6,90,58
2,0,0,24,85,69
0,0,0,57,90,38
0,0,0,17,79,63
20,0,0,8,79,75
0,0,0,12,93,78
0,0,0,44,87,70
0,0,0,79,85,85
0,0,0,77,87,64
0,0,0,59,98,77
0,0,0,72,84,49
0,0,0,78,92,48
0,0,0,76,79,86
0,0,0,85,63,63
0,0,0,83,45,82
0,0,0,84,80,50
0,0,0,41,84,65
0,0,0,25,82,88
0,0,0,58,95,84
0,0,0,53,92,92
0,0,0,85,87,83
0,0,0,85,87,71
11,0,0,81,90,75
0,0,0,47,96,77
0,0,0,76,94,87
0,0,0,79,86,81
0,0,0,85,79,86
0,0,0,80,89,77
0,0,0,88,84,80
0,0,0,85,90,81
0,0,0,89,86,84
0,0,0,66,84,91
0,0,0,83,79,79
0,0,0,82,83,73
0,0,0,92,81,83
0,0,0,88,72,83
63,0,0,91,86,88
38,0,0,83,91,86
28,0,0,87,83,88
46,0,0,76,91,92
0,0,0,86,78,83
0,0,0,82,86,87
0,0,0,88,83,77
0,0,0,72,84,75
0,0,0,74,85,86
0,0,0,87,79,83
0,0,0,78,86,85
0,0,15,75,83,77
0,0,55,76,93,39
0,0,55,73,93,48
3,0,0,71,89,72
6,0,0,74,92,84
0,0,0,92,69,76
0,0,0,85,77,90
0,0,0,74,26,71
0,0,0,48,55,59
0,0,0,10,65,48
0,0,12,43,61,73
0,0,32,82,87,58
38,0,31,70,88,24
39,0,30,61,91,46
27,0,36,77,88,76
21,0,10,79,92,53
27,0,22,92,73,67
36,0,49,90,96,74
30,0,10,82,96,67
0,0,21,75,84,77
0,0,25,92,70,70
7,0,21,86,56,55
5,0,24,88,63,75
0,0,21,85,69,80
0,0,0,81,92,15
0,0,0,40,91,59
0,0,0,41,92,42
0,0,0,58,88,6
6,0,0,29,89,47
0,0,0,29,58,47
0,0,0,36,70,47
0,0,0,88,67,43
0,0,0,76,86,81
0,0,0,87,86,78
25,0,0,93,85,72
11,0,0,88,81,49
0,0,0,77,78,59
0,0,0,75,87,75
0,0,0,65,52,84
0,0,0,48,60,59
0,0,0,66,71,84
0,0,0,89,79,72
0,0,0,83,52,70
0,0,0,82,72,42
0,0,0,81,32,9
0,0,0,80,82,50
0,0,0,86,89,58
0,0,0,72,78,55
0,0,0,82,87,55
0,0,0,88,82,40
0,0,0,87,75,78
0,0,0,79,83,64
0,0,0,77,90,43
0,0,0,83,89,28
0,0,0,79,92,13
0,0,0,85,87,33
0,0,0,81,93,49
0,0,0,76,87,62
0,0,0,79,78,80
0,0,0,85,86,84
0,0,0,89,86,78
0,0,0,91,89,76
0,0,0,83,90,69
0,0,0,88,90,80
0,0,0,78,89,57
0,0,0,82,93,69
0,0,0,82,85,56
0,0,0,84,79,58
0,0,0,88,89,77
0,0,0,81,89,82
0,0,0,76,93,69
0,0,0,81,85,67
0,0,0,92,88,35
0,0,0,84,87,70
0,0,0,84,65,78
0,0,0,80,73,38
0,0,0,87,39,69
0,0,0,84,72,72
0,0,0,84,37,83
0,0,0,91,0,19
0,0,0,76,49,5
0,0,0,75,0,15
0,0,0,27,0,58
0,0,0,74,0,6
0,0,0,77,34,0
0,0,0,85,47,36
0,0,0,84,70,56
0,0,0,74,81,62
0,0,0,79,78,73
0,0,0,79,80,66
0,0,0,80,86,73
0,0,0,78,77,72
0,0,0,82,83,71
0,0,0,83,93,74
0,0,0,84,94,86
0,0,0,87,86,69
0,0,1,70,68,76
0,0,33,86,85,78
0,0,55,83,92,64
0,0,46,74,75,82
0,0,32,73,87,14
0,0,0,75,84,0
0,0,0,84,84,51
0,0,0,86,88,3
0,0,0,66,90,27
0,0,0,64,82,56
0,0,0,8,78,31
0,0,0,21,81,67
0,0,24,8,85,65
0,0,37,0,78,88
0,0,31,0,88,53
0,0,60,55,93,65
0,0,18,87,83,22
0,0,33,73,92,49
0,0,43,37,87,73
0,0,57,68,85,70
0,0,6,80,84,82
0,0,12,61,90,14
0,0,73,79,83,34
0,0,73,45,86,66
0,0,40,55,80,49
0,0,26,33,89,49
0,0,0,75,87,66
0,0,22,90,75,69
0,0,0,88,81,57
0,0,0,85,86,28
0,0,0,94,86,68
0,0,0,76,84,69
0,0,0,78,90,45
0,0,0,93,83,68
0,0,0,88,78,74
0,0,0,89,85,49
0,0,0,84,87,50
0,0,0,77,71,53
0,0,0,79,77,25
0,0,0,77,75,58
0,0,0,82,75,75
0,0,0,75,76,60
0,0,0,44,77,56
0,0,0,17,83,42
0,0,0,19,87,31
0,0,0,29,84,37
0,0,0,83,77,48
0,0,0,48,88,40
0,0,0,72,85,79
0,0,0,85,83,68
0,0,0,82,70,56
0,0,0,83,76,48
0,0,0,76,61,68
0,0,0,83,22,88
0,0,0,85,10,72
0,0,0,79,61,66
0,0,0,83,91,45
0,0,0,85,76,74
0,0,0,75,52,73
0,0,0,86,13,79
0,0,0,77,0,66
0,0,0,85,48,81
0,0,0,88,5,74
0,0,0,80,17,29
0,0,0,82,50,8
0,0,0,83,90,20
0,0,0,79,90,0
0,0,0,76,78,0
0,0,0,90,87,12
0,0,0,89,93,3
0,0,0,88,90,40
0,0,0,78,90,57
0,0,0,91,86,36
0,0,0,90,86,71
0,0,0,89,86,75
0,0,0,84,87,78
0,0,0,84,92,53
0,0,0,88,85,64
0,0,0,86,87,73
0,0,0,83,63,72
0,0,0,69,75,71
0,0,0,81,86,71
0,0,0,79,90,39
0,0,0,74,84,44
0,0,0,81,78,45
0,0,0,85,94,84
0,0,0,81,90,44
0,0,0,92,82,68
0,0,0,87,82,78
0,0,0,82,72,66
0,0,0,81,75,69
0,0,0,84,84,61
0,0,0,85,87,64
0,0,0,85,85,74
0,0,0,78,81,76
0,0,0,82,26,62
0,0,0,38,6,76
0,0,0,7,0,88
0,0,0,14,0,64
0,0,0,45,13,82
0,0,0,54,41,80
0,0,0,0,64,74
0,0,0,46,67,62
0,0,0,70,83,77
0,0,0,76,90,83
0,0,0,78,85,76
0,0,0,87,84,88
0,0,0,88,71,83
0,0,0,83,91,62
0,0,0,84,96,71
0,0,0,76,65,85
0,0,0,83,19,71
0,0,0,79,0,77
0,0,0,82,0,63
0,0,0,81,45,86
0,0,0,86,28,47
0,0,0,76,38,0
0,0,0,84,0,36
0,0,0,76,0,53
0,0,0,50,16,71
0,0,0,28,0,68
0,0,0,64,0,65
0,0,0,77,0,50
0,0,0,90,0,46
0,0,0,73,13,61
0,0,0,77,66,52
0,0,0,86,67,15
0,0,0,78,76,14
0,0,0,83,81,32
0,0,0,91,77,0
0,0,0,79,64,35
0,0,0,90,86,60
0,0,0,75,89,54
0,0,0,76,91,67
0,0,0,79,90,71
0,0,0,88,91,43
