CL_f2_feb,CL_f3_feb,CL_notes_feb,CL_f1_aug,CL_notes_aug,CD_f2_aug,CD_f1_aug,CD_notes_aug,CD_f3_sept,CD_notes_sept
0,50,lights off,0,lights off,0,0,lights on,0,lights on
0,37,lights off,0,lights off,0,0,lights on,0,lights on
0,63,lights off,11,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,38,lights on
0,9,lights off,5,lights off,0,0,lights on,79,lights on
0,60,lights off,0,lights off,0,0,lights on,46,lights on
0,47,lights off,0,lights off,0,0,lights on,86,lights on
0,52,lights off,0,lights off,3,0,lights on,36,lights on
0,24,lights off,0,lights off,34,0,lights on,0,lights on
0,38,lights off,0,lights off,44,0,lights on,5,lights on
0,61,lights off,0,lights off,13,0,lights on,0,lights on
0,1,lights off,0,lights off,0,0,lights on,6,lights on
0,10,lights off,0,lights off,0,0,lights on,44,lights on
0,13,lights off,0,lights off,0,0,lights on,70,lights on
0,0,lights off,0,lights off,0,0,lights on,49,lights on
0,0,lights off,0,lights off,0,0,lights on,55,lights on
0,13,lights off,0,lights off,0,0,lights on,75,lights on
0,28,lights off,0,lights off,0,0,lights on,63,lights on
0,24,lights off,0,lights off,0,0,lights on,71,lights on
0,6,lights off,0,lights off,0,0,lights on,81,lights on
0,23,lights off,0,lights off,0,0,lights on,89,lights on
0,0,lights off,0,lights off,0,0,lights on,67,lights on
0,2,lights off,0,lights off,0,0,lights on,13,lights on
0,12,lights off,0,lights off,0,0,lights on,60,lights on
0,4,lights off,0,lights off,0,0,lights on,70,lights on
0,46,lights off,0,lights off,0,0,lights on,50,lights on
0,29,lights off,0,lights off,0,0,lights on,87,lights on
0,13,lights off,0,lights off,0,0,lights on,61,lights on
0,11,lights off,0,lights off,0,0,lights on,46,lights on
0,65,lights off,0,lights off,0,0,lights on,39,lights on
0,21,lights off,0,lights off,0,0,lights on,35,lights on
0,4,lights off,0,lights off,0,0,lights on,40,lights on
0,0,lights off,0,lights off,0,0,lights on,30,lights on
0,6,lights off,0,lights off,0,0,lights on,51,lights on
0,24,lights off,0,lights off,0,0,lights on,50,lights on
0,34,lights off,0,lights off,0,0,lights on,53,lights on
0,35,lights off,0,lights off,0,0,lights on,57,lights on
0,55,lights off,0,lights off,0,0,lights on,0,lights on
0,53,lights off,0,lights off,0,0,lights on,0,lights on
0,77,lights off,0,lights off,0,4,lights on,0,lights on
0,76,lights off,0,lights off,0,50,lights on,0,lights on
26,81,lights off,0,lights off,0,20,lights on,0,lights on
0,89,lights off,0,lights off,0,14,lights on,0,lights on
0,71,lights off,0,lights off,0,39,lights on,0,lights on
0,17,lights off,0,lights off,0,76,lights on,0,lights on
0,71,lights off,0,lights off,0,64,lights on,0,lights on
0,79,lights off,0,lights off,0,15,lights on,0,lights on
0,66,lights off,0,lights off,0,0,lights on,0,lights on
0,64,lights off,0,lights off,0,0,lights on,0,lights on
0,51,lights off,0,lights off,0,0,lights on,0,lights on
0,46,lights off,1,lights off,0,0,lights on,0,lights on
0,59,lights off,19,lights off,0,0,lights on,0,lights on
0,84,lights off,0,lights off,0,0,lights on,0,lights on
0,4,lights off,30,lights off,0,0,lights on,0,lights on
0,76,lights off,0,lights off,0,0,lights on,0,lights on
0,35,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,44,lights off,0,lights off,0,0,lights on,0,lights on
0,81,lights off,0,lights off,0,0,lights on,0,lights on
0,81,lights off,0,lights off,0,0,lights on,0,lights on
0,84,lights off,0,lights off,0,0,lights on,0,lights on
0,64,lights off,0,lights off,0,0,lights on,0,lights on
0,69,lights off,0,lights off,0,0,lights on,0,lights on
0,55,lights off,0,lights off,0,0,lights on,0,lights on
0,58,lights off,0,lights off,0,0,lights on,0,lights on
0,52,lights off,0,lights off,0,63,lights on,0,lights on
0,59,lights off,0,lights off,0,62,lights on,0,lights on
0,53,lights off,0,lights off,0,71,lights on,0,lights on
0,70,lights off,0,lights off,0,59,lights on,0,lights on
0,55,lights off,0,lights off,0,64,lights on,0,lights on
0,60,lights off,0,lights off,0,20,lights on,0,lights on
0,70,lights off,0,lights off,0,40,lights on,0,lights on
0,65,lights off,0,lights off,0,0,lights on,0,lights on
0,32,lights off,0,lights off,0,24,lights on,0,lights on
0,59,lights off,0,lights off,0,37,lights on,0,lights on
0,24,lights off,0,lights off,0,0,lights on,0,lights on
32,0,lights off,0,lights off,0,0,lights on,0,lights on
10,6,lights off,0,lights off,0,3,lights on,0,lights on
9,63,lights off,0,lights off,0,44,lights on,1,lights on
4,10,lights off,0,lights off,0,0,lights on,60,lights on
10,36,lights off,0,lights off,0,0,lights on,47,lights on
0,67,lights off,0,lights off,0,0,lights on,30,lights on
1,54,lights off,0,lights off,0,0,lights on,27,lights on
0,79,lights off,0,lights off,0,0,lights on,47,lights on
0,61,lights off,0,lights off,0,0,lights on,0,lights on
0,72,lights off,0,lights off,0,0,lights on,0,lights on
0,87,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
9,84,lights off,0,lights off,0,0,lights on,0,lights on
15,90,lights off,0,lights off,0,0,lights on,0,lights on
9,91,lights off,0,lights off,0,0,lights on,0,lights on
18,82,lights off,0,lights off,0,0,lights on,0,lights on
12,83,lights off,0,lights off,0,0,lights on,0,lights on
6,90,lights off,0,lights off,0,0,lights on,0,lights on
19,31,lights off,0,lights off,0,0,lights on,0,lights on
6,12,lights off,0,lights off,0,0,lights on,0,lights on
31,66,lights off,0,lights off,0,0,lights on,0,lights on
35,44,lights off,0,lights off,0,0,lights on,0,lights on
16,77,lights off,0,lights off,0,0,lights on,0,lights on
7,58,lights off,0,lights off,0,0,lights on,0,lights on
4,48,lights off,0,lights off,0,0,lights on,0,lights on
0,39,lights off,0,lights off,0,0,lights on,0,lights on
0,71,lights off,0,lights off,0,0,lights on,0,lights on
7,39,lights off,0,lights off,0,0,lights on,0,lights on
20,40,lights off,0,lights off,0,0,lights on,0,lights on
0,69,lights off,0,lights off,0,0,lights on,0,lights on
0,42,lights off,0,lights off,0,0,lights on,0,lights on
0,74,lights off,0,lights off,0,0,lights on,0,lights on
9,74,lights off,0,lights off,0,0,lights on,0,lights on
0,52,lights off,0,lights off,0,0,lights on,0,lights on
0,61,lights off,0,lights off,0,0,lights on,0,lights on
5,8,lights off,0,lights off,0,0,lights on,0,lights on
25,42,lights off,0,lights off,0,0,lights on,0,lights on
29,69,lights off,0,lights off,0,0,lights on,0,lights on
60,15,lights off,10,lights off,0,0,lights on,0,lights on
54,35,lights off,22,lights off,0,0,lights on,0,lights on
22,10,lights off,36,lights off,0,0,lights on,0,lights on
19,56,lights off,40,lights off,0,0,lights on,0,lights on
32,44,lights off,16,lights off,0,0,lights on,0,lights on
27,34,lights off,43,lights off,0,0,lights on,0,lights on
37,29,lights off,64,lights off,0,0,lights on,0,lights on
55,58,lights off,36,lights off,0,0,lights on,0,lights on
52,13,lights off,56,lights off,0,0,lights on,0,lights on
2,52,lights off,53,lights off,0,0,lights on,0,lights on
13,22,lights off,68,lights off,0,0,lights on,0,lights on
69,33,lights off,41,lights off,0,0,lights on,0,lights on
4,0,lights off,0,lights off,0,0,lights on,0,lights on
17,36,lights off,0,lights off,0,0,lights on,0,lights on
25,7,lights off,0,lights off,0,0,lights on,0,lights on
21,0,lights off,0,lights off,0,0,lights on,0,lights on
42,27,lights off,0,lights off,0,0,lights on,0,lights on
24,34,lights off,0,lights off,0,0,lights on,0,lights on
0,16,lights off,0,lights off,0,0,lights on,0,lights on
0,25,lights off,0,lights off,0,0,lights on,0,lights on
23,43,lights off,16,lights off,0,0,lights on,0,lights on
43,27,lights off,34,lights off,0,0,lights on,0,lights on
42,14,lights off,0,lights off,0,0,lights on,0,lights on
0,28,lights off,0,lights off,0,0,lights on,0,lights on
0,27,lights off,0,lights off,0,0,lights on,0,lights on
0,14,lights off,0,lights off,0,0,lights on,0,lights on
0,22,lights off,0,lights off,0,0,lights on,0,lights on
0,12,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,29,lights off,0,lights off,0,0,lights on,0,lights on
0,4,lights off,0,lights off,0,0,lights on,0,lights on
2,29,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,9,lights off,0,0,lights on,0,lights on
0,0,lights off,24,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,4,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
3,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
1,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,42,lights on
0,0,lights off,0,lights off,0,0,lights on,21,lights on
0,0,lights off,0,lights off,0,0,lights on,46,lights on
0,0,lights off,0,lights off,0,0,lights on,45,lights on
0,0,lights off,0,lights off,0,0,lights on,17,lights on
0,0,lights off,0,lights off,0,0,lights on,27,lights on
0,0,lights off,0,lights off,0,0,lights on,58,lights on
0,0,lights off,0,lights off,0,0,lights on,50,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,5,lights on
2,0,lights off,0,lights off,0,0,lights on,28,lights on
2,0,lights off,0,lights off,0,0,lights on,34,lights on
0,0,lights off,0,lights off,0,0,lights on,50,lights on
5,0,lights off,0,lights off,0,0,lights on,45,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,2,lights on
0,0,lights off,0,lights off,0,0,lights on,72,lights on
3,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,34,lights on
9,0,lights off,0,lights off,0,0,lights on,88,lights on
15,0,lights off,0,lights off,0,0,lights on,88,lights on
31,0,lights off,0,lights off,0,0,lights on,66,lights on
0,0,lights off,0,lights off,0,0,lights on,22,lights on
22,0,lights off,0,lights off,0,0,lights on,43,lights on
11,0,lights off,0,lights off,0,0,lights on,41,lights on
10,0,lights off,0,lights off,0,0,lights on,51,lights on
0,0,lights off,0,lights off,0,0,lights on,67,lights on
15,0,lights off,0,lights off,0,0,lights on,55,lights on
76,0,lights off,0,lights off,0,0,lights on,69,lights on
62,0,lights off,0,lights off,0,0,lights on,39,lights on
0,0,lights off,20,lights off,0,0,lights on,63,lights on
0,0,lights off,37,lights off,0,0,lights on,72,lights on
0,0,lights off,0,lights off,0,0,lights on,68,lights on
18,0,lights off,0,lights off,0,0,lights on,63,lights on
0,0,lights off,0,lights off,0,0,lights on,23,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
33,0,lights off,0,lights off,0,0,lights on,0,lights on
47,0,lights off,0,lights off,0,0,lights on,0,lights on
11,0,lights off,0,lights off,0,0,lights on,0,lights on
8,0,lights off,0,lights off,0,0,lights on,0,lights on
22,0,lights off,0,lights off,0,0,lights on,5,lights on
31,0,lights off,0,lights off,0,0,lights on,79,lights on
40,0,lights off,0,lights off,0,0,lights on,81,lights on
25,0,lights off,13,lights off,0,0,lights on,69,lights on
26,0,lights off,9,lights off,0,0,lights on,73,lights on
42,0,lights off,16,lights off,0,0,lights on,69,lights on
0,0,lights off,41,lights off,0,0,lights on,87,lights on
26,0,lights off,66,lights off,0,0,lights on,81,lights on
19,0,lights off,44,lights off,0,0,lights on,77,lights on
62,0,lights off,47,lights off,0,0,lights on,76,lights on
78,0,lights off,19,lights off,0,0,lights on,69,lights on
19,0,lights off,0,lights off,0,0,lights on,55,lights on
0,0,lights off,45,lights off,0,0,lights on,49,lights on
0,0,lights off,55,lights off,0,0,lights on,78,lights on
0,0,lights off,29,lights off,0,0,lights on,45,lights on
0,0,lights off,59,lights off,0,0,lights on,68,lights on
0,0,lights off,46,lights off,0,0,lights on,55,lights on
0,0,lights off,46,lights off,0,0,lights on,42,lights on
0,0,lights off,50,lights off,0,0,lights on,21,lights on
0,0,lights off,11,lights off,0,0,lights on,38,lights on
0,0,lights off,48,lights off,0,0,lights on,39,lights on
0,0,lights off,17,lights off,0,0,lights on,38,lights on
0,0,lights off,16,lights off,0,0,lights on,46,lights on
0,0,lights off,22,lights off,0,0,lights on,48,lights on
0,0,lights off,37,lights off,0,0,lights on,15,lights on
0,0,lights off,0,lights off,0,0,lights on,65,lights on
0,0,lights off,4,lights off,0,0,lights on,40,lights on
0,0,lights off,48,lights off,0,0,lights on,30,lights on
0,0,lights off,53,lights off,0,0,lights on,0,lights on
0,0,lights off,61,lights off,0,0,lights on,16,lights on
0,0,lights off,63,lights off,0,0,lights on,64,lights on
13,0,lights off,77,lights off,0,0,lights on,37,lights on
45,0,lights off,50,lights off,0,0,lights on,69,lights on
45,0,lights off,5,lights off,0,0,lights on,48,lights on
38,5,lights off,0,lights off,0,0,lights on,23,lights on
71,0,lights off,0,lights off,0,0,lights on,48,lights on
43,0,lights off,10,lights off,0,0,lights on,33,lights on
66,0,lights off,0,lights off,0,0,lights on,39,lights on
70,0,lights off,0,lights off,0,0,lights on,44,lights on
57,0,lights off,0,lights off,0,0,lights on,63,lights on
74,0,lights off,0,lights off,0,0,lights on,75,lights on
65,0,lights off,0,lights off,0,0,lights on,47,lights on
73,0,lights off,0,lights off,0,0,lights on,5,lights on
69,0,lights off,0,lights off,0,0,lights on,7,lights on
87,0,lights off,0,lights off,0,0,lights on,42,lights on
3,0,lights off,16,lights off,0,0,lights on,7,lights on
0,0,lights off,24,lights off,0,0,lights on,37,lights on
15,0,lights off,17,lights off,0,0,lights on,37,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,12,lights on
0,0,lights off,0,lights off,0,0,lights on,75,lights on
0,0,lights off,0,lights off,0,0,lights on,73,lights on
0,0,lights off,0,lights off,0,0,lights on,61,lights on
0,0,lights off,0,lights off,0,0,lights on,63,lights on
0,0,lights off,0,lights off,0,0,lights on,78,lights on
0,0,lights off,0,lights off,0,0,lights on,78,lights on
0,0,lights off,0,lights off,0,0,lights on,71,lights on
17,0,lights off,0,lights off,0,0,lights on,74,lights on
0,0,lights off,0,lights off,0,0,lights on,73,lights on
0,0,lights off,0,lights off,0,0,lights on,67,lights on
0,0,lights off,0,lights off,0,0,lights on,55,lights on
0,0,lights off,0,lights off,0,0,lights on,67,lights on
0,0,lights off,0,lights off,0,0,lights on,53,lights on
75,0,lights off,0,lights off,0,0,lights on,71,lights on
51,0,lights off,0,lights off,0,0,lights on,55,lights on
38,0,lights off,0,lights off,0,0,lights on,57,lights on
46,0,lights off,0,lights off,0,0,lights on,65,lights on
0,0,lights off,0,lights off,0,0,lights on,73,lights on
1,0,lights off,0,lights off,0,0,lights on,66,lights on
83,0,lights off,24,lights off,0,0,lights on,66,lights on
63,0,lights off,0,lights off,0,0,lights on,59,lights on
65,0,lights off,0,lights off,0,0,lights on,44,lights on
0,0,lights off,0,lights off,0,0,lights on,61,lights on
0,0,lights off,0,lights off,0,0,lights on,56,lights on
0,0,lights off,0,lights off,0,0,lights on,54,lights on
0,0,lights off,0,lights off,0,0,lights on,66,lights on
0,8,lights off,0,lights off,0,0,lights on,25,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,16,lights on
0,0,lights off,0,lights off,0,0,lights on,2,lights on
0,0,lights off,0,lights off,0,0,lights on,11,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,8,lights off,0,0,lights on,0,lights on
0,0,lights off,2,lights off,0,0,lights on,0,lights on
0,0,lights off,11,lights off,0,0,lights on,0,lights on
0,0,lights off,13,lights off,0,0,lights on,0,lights on
0,0,lights off,58,lights off,0,0,lights on,0,lights on
0,0,lights off,57,lights off,0,0,lights on,0,lights on
0,0,lights off,44,lights off,0,0,lights on,0,lights on
0,0,lights off,55,lights off,0,0,lights on,2,lights on
3,0,lights off,75,lights off,0,0,lights on,25,lights on
0,0,lights off,62,lights off,0,0,lights on,64,lights on
0,0,lights off,46,lights off,0,0,lights on,78,lights on
0,0,lights off,19,lights off,0,0,lights on,57,lights on
0,0,lights off,14,lights off,0,0,lights on,54,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
8,0,lights off,10,lights off,0,0,lights on,0,lights on
7,0,lights off,0,lights off,0,0,lights on,0,lights on
2,0,lights off,0,lights off,0,0,lights on,18,lights on
13,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
13,0,lights off,0,lights off,0,0,lights on,0,lights on
16,0,lights off,0,lights off,0,0,lights on,0,lights on
37,0,lights off,0,lights off,0,0,lights on,16,lights on
35,4,lights off,0,lights off,0,0,lights on,0,lights on
2,0,lights off,9,lights off,0,0,lights on,0,lights on
14,0,lights off,0,lights off,0,0,lights on,0,lights on
14,0,lights off,0,lights off,0,0,lights on,0,lights on
15,0,lights off,0,lights off,0,0,lights on,15,lights on
0,0,lights off,0,lights off,0,0,lights on,85,lights on
29,0,lights off,0,lights off,0,0,lights on,55,lights on
19,0,lights off,12,lights off,0,0,lights on,58,lights on
11,0,lights off,11,lights off,0,0,lights on,64,lights on
5,0,lights off,0,lights off,0,0,lights on,73,lights on
0,0,lights off,5,lights off,0,0,lights on,76,lights on
11,0,lights off,0,lights off,0,0,lights on,60,lights on
13,0,lights off,57,lights off,0,0,lights on,41,lights on
0,0,lights off,67,lights off,0,0,lights on,28,lights on
27,0,lights off,63,lights off,0,0,lights on,0,lights on
6,0,lights off,78,lights off,0,0,lights on,0,lights on
7,0,lights off,26,lights off,0,0,lights on,0,lights on
0,0,lights off,0,lights off,0,0,lights on,23,lights on
0,0,lights off,0,lights off,0,0,lights on,0,lights on
0,0,lights off,2,lights off,0,0,lights on,0,lights on
0,0,lights off,61,lights off,0,0,lights on,0,lights on
0,0,lights off,6,lights off,0,0,lights on,5,lights on
0,0,lights off,20,lights off,0,0,lights on,48,lights on
0,0,lights off,15,lights off,0,0,lights on,66,lights on
20,0,lights off,0,lights off,0,0,lights on,39,lights on
47,0,lights off,0,lights off,0,0,lights on,59,lights on
8,0,lights off,0,lights off,0,0,lights on,69,lights on
10,0,lights off,0,lights off,0,0,lights on,79,lights on
13,0,lights off,0,lights off,0,0,lights on,83,lights on
27,0,lights off,0,lights off,0,0,lights on,75,lights on
0,0,lights off,0,lights off,0,0,lights on,74,lights on
0,0,lights off,0,lights off,0,0,lights on,79,lights on
0,0,lights off,0,lights off,0,9,lights on,57,lights on
0,0,lights off,12,lights off,0,0,lights on,54,lights on
0,0,lights off,0,lights off,0,0,lights on,49,lights on
0,0,lights off,0,lights off,0,0,lights on,67,lights on
0,0,lights off,0,lights off,0,0,lights on,60,lights on
0,0,lights off,0,lights off,0,0,lights on,62,lights on
0,0,lights off,0,lights off,0,0,lights on,70,lights on
1,0,lights off,21,lights off,0,0,lights on,67,lights on
4,7,lights off,27,lights off,0,0,lights on,67,lights on
10,16,lights off,53,lights off,0,0,lights on,66,lights on
12,9,lights off,49,lights off,0,0,lights on,52,lights on
0,0,lights off,0,lights off,0,0,lights on,61,lights on
14,0,lights off,21,lights off,0,0,lights on,39,lights on
26,0,lights off,12,lights off,0,0,lights on,45,lights on
0,0,lights off,29,lights off,0,0,lights on,74,lights on
0,0,lights off,0,lights off,0,0,lights on,34,lights on
0,0,lights off,0,lights off,0,0,lights on,18,lights on
0,0,lights off,0,lights off,0,0,lights on,53,lights on
0,0,lights off,0,lights off,0,0,lights on,65,lights on
0,0,lights off,0,lights off,0,0,lights on,66,lights on
0,0,lights off,0,lights off,0,0,lights on,65,lights on
0,0,lights off,0,lights off,0,0,lights on,78,lights on
19,0,lights off,0,lights off,0,0,lights on,44,lights on
0,0,lights off,0,lights off,0,0,lights on,59,lights on
0,0,lights off,0,lights off,0,0,lights on,54,lights on
0,0,lights off,0,lights off,0,0,lights on,44,lights on
0,0,lights off,11,lights off,0,0,lights on,64,lights on
0,0,lights off,8,lights off,0,0,lights on,29,lights on
0,0,lights off,0,lights off,0,0,lights on,63,lights on
0,0,lights off,0,lights off,0,0,lights on,60,lights on
0,0,lights off,0,lights off,0,0,lights on,68,lights on
0,0,lights off,0,lights off,0,0,lights on,44,lights on
0,0,lights off,0,lights off,0,0,lights on,54,lights on
0,0,lights off,0,lights off,0,0,lights on,50,lights on
0,0,lights off,0,lights off,0,0,lights on,31,lights on
0,0,lights off,0,lights off,0,0,lights on,55,lights on
0,0,lights off,0,lights off,0,0,lights on,60,lights on
0,0,lights off,0,lights off,0,0,lights on,45,lights on
0,0,lights off,0,lights off,0,0,lights on,24,lights on
19,0,lights off,0,lights off,0,0,lights on,43,lights on
45,0,lights off,0,lights off,0,0,lights on,33,lights on
38,0,lights off,0,lights off,0,0,lights on,35,lights on
38,0,lights off,0,lights off,0,0,lights on,0,lights on
10,0,lights off,0,lights off,0,0,lights on,47,lights on
11,0,lights off,0,lights off,0,0,lights on,12,lights on
6,0,lights off,0,lights off,0,0,lights on,39,lights on
41,0,lights off,0,lights off,0,0,lights on,24,lights on
49,0,lights off,0,lights off,0,0,lights on,19,lights on
39,0,lights off,0,lights off,0,0,lights on,27,lights on
17,0,lights off,0,lights off,0,0,lights on,36,lights on
15,0,lights off,0,lights off,0,0,lights on,29,lights on
0,0,lights off,0,lights off,0,0,lights on,21,lights on
5,0,lights off,0,lights off,0,0,lights on,37,lights on
1,0,lights off,0,lights off,0,0,lights on,39,lights on
0,0,lights off,0,lights off,0,0,lights on,40,lights on
0,0,lights off,0,lights off,0,0,lights on,16,lights on
0,0,lights off,0,lights off,0,0,lights on,44,lights on
0,0,lights off,0,lights off,0,0,lights on,36,lights on
0,0,lights off,0,lights off,0,0,lights on,35,lights on
0,0,lights off,0,lights off,0,0,lights on,39,lights on
0,0,lights off,0,lights off,0,0,lights on,26,lights on
0,0,lights off,0,lights off,0,0,lights on,21,lights on
0,0,lights off,0,lights off,0,39,lights on,15,lights on
25,0,lights off,0,lights off,0,40,lights on,0,lights on
0,0,lights off,0,lights off,0,46,lights on,0,lights on
36,0,lights off,0,lights off,0,37,lights on,0,lights on
8,0,lights off,0,lights off,0,47,lights on,33,lights on
65,0,lights off,0,lights off,0,71,lights on,24,lights on
59,0,lights off,0,lights off,0,42,lights on,68,lights on
45,0,lights off,0,lights off,0,0,lights on,87,lights on
40,0,lights off,0,lights off,0,0,lights on,80,lights on
42,0,lights off,0,lights off,0,0,lights on,48,lights on
55,0,lights off,0,lights off,0,0,lights on,56,lights on
73,0,lights off,0,lights off,0,0,lights on,75,lights on
62,0,lights off,0,lights off,0,0,lights on,75,lights on
83,0,lights off,0,lights off,0,26,lights on,67,lights on
23,0,lights off,0,lights off,0,0,lights on,14,lights on
0,0,lights off,0,lights off,0,0,lights on,24,lights on
7,0,lights off,0,lights off,0,0,lights on,33,lights on
51,0,lights off,0,lights off,0,0,lights on,22,lights on
54,0,lights off,0,lights off,0,0,lights on,72,lights on
26,0,lights off,0,lights off,0,0,lights on,10,lights on
41,0,lights off,0,lights off,0,0,lights on,0,lights on
63,0,lights off,0,lights off,0,0,lights on,13,lights on
0,0,lights off,0,lights off,0,0,lights on,42,lights on
50,0,lights off,0,lights off,0,0,lights on,64,lights on
63,0,lights off,0,lights off,0,0,lights on,80,lights on
63,0,lights off,38,lights off,0,0,lights on,57,lights on
74,0,lights off,74,lights off,0,0,lights on,76,lights on
60,0,lights off,61,lights off,0,0,lights on,76,lights on
54,0,lights off,78,lights off,0,0,lights on,56,lights on
60,0,lights off,53,lights off,0,0,lights on,68,lights on
62,0,lights off,84,lights off,0,0,lights on,72,lights on
81,0,lights off,60,lights off,0,0,lights on,63,lights on
33,0,lights off,19,lights off,0,0,lights on,88,lights on
60,0,lights off,41,lights off,0,0,lights on,76,lights on
50,0,lights off,45,lights off,0,0,lights on,78,lights on
2,0,lights off,12,lights off,0,0,lights on,86,lights on
2,0,lights off,22,lights off,0,0,lights on,36,lights on
19,0,lights off,10,lights off,0,0,lights on,31,lights on
73,28,lights off,0,lights off,0,0,lights on,33,lights on
64,54,lights off,0,lights off,0,0,lights on,3,lights on
42,15,lights off,0,lights off,0,0,lights on,58,lights on
0,0,lights off,35,lights off,0,0,lights on,71,lights on
24,26,lights off,52,lights off,0,0,lights on,48,lights on
28,29,lights off,48,lights off,0,0,lights on,15,lights on
61,60,lights off,26,lights off,0,0,lights on,0,lights on
19,34,lights off,0,lights off,0,0,lights on,51,lights on
0,41,lights off,0,lights off,0,0,lights on,57,lights on
31,63,lights off,0,lights off,0,0,lights on,32,lights on
3,27,lights off,0,lights off,0,0,lights on,70,lights on
0,16,lights off,8,lights off,0,0,lights on,59,lights on
6,23,lights off,6,lights off,0,0,lights on,23,lights on
0,46,lights off,9,lights off,0,0,lights on,66,lights on
33,48,lights off,61,lights off,0,0,lights on,80,lights on
18,36,lights off,69,lights off,0,0,lights on,69,lights on
66,0,lights off,56,lights off,0,0,lights on,86,lights on
64,16,lights off,44,lights off,0,0,lights on,62,lights on
13,76,lights off,24,lights off,0,0,lights on,68,lights on
10,51,lights off,0,lights off,0,0,lights on,65,lights on
