CL_f2_feb,CL_f3_feb,CL_notes_feb,CL_f1_aug,CL_notes_aug,CD_f2_aug,CD_f1_aug,CD_notes_aug,CD_f3_sept,CD_notes_sept
0,0,lights on ,8,lights on ,80,36,lights off,6,lights on
1,0,lights on ,4,lights on ,81,70,lights off,33,lights on
11,14,lights on ,18,lights on ,83,64,lights off,44,lights on
0,21,lights on ,38,lights on ,75,25,lights off,63,lights on
0,2,lights on ,0,lights on ,66,44,lights off,81,lights on
0,18,lights on ,0,lights on ,69,3,lights off,74,lights on
0,13,lights on ,0,lights on ,47,18,lights off,68,lights on
1,4,lights on ,0,lights on ,58,67,lights off,77,lights on
19,7,lights on ,0,lights on ,87,58,lights off,59,lights on
30,0,lights on ,0,lights on ,83,72,lights off,53,lights on
13,0,lights on ,8,lights on ,77,55,lights off,35,lights on
4,0,lights on ,0,lights on ,79,74,lights off,81,lights on
4,21,lights on ,4,lights on ,78,68,lights off,75,lights on
1,60,lights on ,12,lights on ,76,70,lights off,76,lights on
15,56,lights on ,0,lights on ,87,49,lights off,79,lights on
2,25,lights on ,0,lights on ,60,62,lights off,76,lights on
3,3,lights on ,0,lights on ,67,69,lights off,51,lights on
0,42,lights on ,14,lights on ,81,52,lights off,79,lights on
0,46,lights on ,46,lights on ,65,70,lights off,64,lights on
0,34,lights on ,5,lights on ,33,59,lights off,66,lights on
0,0,lights on ,23,lights on ,69,5,lights off,42,lights on
0,0,lights on ,0,lights on ,57,44,lights off,54,lights on
0,0,lights on ,51,lights on ,56,84,lights off,44,lights on
0,0,lights on ,6,lights on ,60,74,lights off,34,lights on
0,0,lights on ,2,lights on ,70,78,lights off,62,lights on
0,0,lights on ,65,lights on ,85,79,lights off,0,lights on
0,0,lights on ,64,lights on ,83,68,lights off,4,lights on
0,0,lights on ,0,lights on ,68,27,lights off,0,lights on
0,0,lights on ,55,lights on ,77,17,lights off,3,lights on
0,0,lights on ,35,lights on ,76,36,lights off,17,lights on
0,1,lights on ,36,lights on ,90,2,lights off,0,lights on
0,30,lights on ,45,lights on ,85,0,lights off,0,lights on
0,31,lights on ,2,lights on ,92,0,lights off,0,lights on
25,0,lights on ,3,lights on ,80,0,lights off,0,lights on
0,0,lights on ,19,lights on ,82,0,lights off,2,lights on
0,0,lights on ,14,lights on ,81,0,lights off,0,lights on
0,0,lights on ,0,lights on ,66,52,lights off,0,lights on
0,0,lights on ,0,lights on ,78,49,lights off,0,lights on
0,0,lights on ,0,lights on ,72,65,lights off,0,lights on
0,0,lights on ,0,lights on ,93,78,lights off,0,lights on
0,0,lights on ,0,lights on ,88,63,lights off,0,lights on
0,0,lights on ,0,lights on ,82,70,lights off,0,lights on
0,0,lights on ,0,lights on ,64,54,lights off,0,lights on
0,0,lights on ,0,lights on ,6,29,lights off,0,lights on
0,0,lights on ,0,lights on ,52,77,lights off,0,lights on
0,0,lights on ,0,lights on ,80,64,lights off,0,lights on
0,0,lights on ,0,lights on ,74,27,lights off,0,lights on
0,0,lights on ,0,lights on ,71,44,lights off,0,lights on
0,0,lights on ,0,lights on ,57,27,lights off,0,lights on
0,0,lights on ,0,lights on ,80,0,lights off,0,lights on
0,0,lights on ,0,lights on ,72,0,lights off,0,lights on
0,0,lights on ,0,lights on ,92,14,lights off,20,lights on
0,0,lights on ,0,lights on ,84,62,lights off,70,lights on
0,0,lights on ,0,lights on ,89,63,lights off,0,lights on
0,2,lights on ,0,lights on ,79,38,lights off,0,lights on
0,0,lights on ,0,lights on ,75,43,lights off,0,lights on
0,0,lights on ,14,lights on ,42,3,lights off,0,lights on
0,0,lights on ,0,lights on ,60,0,lights off,48,lights on
0,0,lights on ,0,lights on ,86,0,lights off,62,lights on
0,0,lights on ,0,lights on ,90,0,lights off,43,lights on
0,0,lights on ,0,lights on ,84,14,lights off,8,lights on
0,0,lights on ,0,lights on ,86,3,lights off,54,lights on
0,0,lights on ,0,lights on ,70,59,lights off,24,lights on
0,0,lights on ,0,lights on ,86,51,lights off,0,lights on
0,0,lights on ,0,lights on ,87,82,lights off,0,lights on
0,0,lights on ,0,lights on ,75,75,lights off,0,lights on
0,30,lights on ,13,lights on ,77,83,lights off,0,lights on
28,0,lights on ,27,lights on ,88,78,lights off,0,lights on
23,13,lights on ,42,lights on ,89,81,lights off,0,lights on
0,5,lights on ,38,lights on ,81,64,lights off,0,lights on
9,41,lights on ,63,lights on ,86,80,lights off,0,lights on
0,44,lights on ,53,lights on ,87,84,lights off,0,lights on
0,23,lights on ,20,lights on ,90,84,lights off,0,lights on
0,40,lights on ,18,lights on ,80,85,lights off,0,lights on
0,21,lights on ,0,lights on ,76,88,lights off,0,lights on
0,50,lights on ,0,lights on ,79,88,lights off,0,lights on
0,11,lights on ,1,lights on ,78,87,lights off,0,lights on
0,0,lights on ,27,lights on ,81,89,lights off,0,lights on
0,0,lights on ,0,lights on ,78,77,lights off,0,lights on
0,0,lights on ,0,lights on ,82,83,lights off,0,lights on
0,0,lights on ,0,lights on ,51,84,lights off,0,lights on
0,0,lights on ,0,lights on ,59,84,lights off,0,lights on
0,0,lights on ,0,lights on ,85,85,lights off,0,lights on
0,3,lights on ,0,lights on ,85,91,lights off,0,lights on
0,0,lights on ,0,lights on ,81,83,lights off,0,lights on
0,0,lights on ,0,lights on ,83,88,lights off,0,lights on
0,0,lights on ,0,lights on ,79,83,lights off,0,lights on
0,0,lights on ,0,lights on ,61,84,lights off,0,lights on
0,0,lights on ,0,lights on ,29,82,lights off,0,lights on
0,0,lights on ,0,lights on ,46,85,lights off,0,lights on
0,0,lights on ,0,lights on ,51,94,lights off,0,lights on
0,0,lights on ,0,lights on ,32,86,lights off,23,lights on
0,0,lights on ,0,lights on ,36,78,lights off,0,lights on
0,0,lights on ,0,lights on ,39,89,lights off,0,lights on
0,0,lights on ,0,lights on ,45,91,lights off,0,lights on
0,0,lights on ,0,lights on ,30,92,lights off,0,lights on
0,0,lights on ,0,lights on ,40,71,lights off,12,lights on
0,0,lights on ,0,lights on ,60,94,lights off,0,lights on
0,0,lights on ,0,lights on ,53,90,lights off,25,lights on
0,0,lights on ,0,lights on ,51,91,lights off,59,lights on
0,0,lights on ,0,lights on ,10,95,lights off,0,lights on
0,0,lights on ,0,lights on ,28,84,lights off,0,lights on
0,0,lights on ,0,lights on ,5,93,lights off,0,lights on
0,70,lights on ,0,lights on ,18,91,lights off,0,lights on
0,55,lights on ,0,lights on ,0,85,lights off,0,lights on
0,28,lights on ,0,lights on ,0,94,lights off,0,lights on
0,13,lights on ,0,lights on ,48,84,lights off,11,lights on
0,6,lights on ,0,lights on ,93,85,lights off,0,lights on
0,0,lights on ,0,lights on ,75,90,lights off,0,lights on
0,4,lights on ,0,lights on ,77,87,lights off,0,lights on
0,0,lights on ,0,lights on ,75,95,lights off,0,lights on
0,42,lights on ,0,lights on ,72,88,lights off,34,lights on
0,28,lights on ,0,lights on ,77,93,lights off,17,lights on
0,36,lights on ,0,lights on ,74,87,lights off,44,lights on
0,72,lights on ,0,lights on ,79,88,lights off,72,lights on
0,35,lights on ,0,lights on ,80,93,lights off,79,lights on
0,13,lights on ,0,lights on ,85,80,lights off,46,lights on
0,0,lights on ,0,lights on ,86,74,lights off,41,lights on
0,70,lights on ,0,lights on ,92,97,lights off,0,lights on
0,28,lights on ,0,lights on ,81,76,lights off,0,lights on
0,13,lights on ,0,lights on ,69,81,lights off,0,lights on
0,36,lights on ,0,lights on ,90,81,lights off,0,lights on
0,0,lights on ,0,lights on ,77,76,lights off,2,lights on
0,12,lights on ,0,lights on ,85,87,lights off,32,lights on
0,26,lights on ,0,lights on ,50,91,lights off,46,lights on
0,9,lights on ,0,lights on ,38,89,lights off,40,lights on
0,12,lights on ,0,lights on ,80,85,lights off,35,lights on
0,83,lights on ,0,lights on ,77,89,lights off,16,lights on
0,84,lights on ,0,lights on ,82,89,lights off,54,lights on
0,9,lights on ,0,lights on ,76,95,lights off,36,lights on
0,16,lights on ,0,lights on ,77,86,lights off,0,lights on
0,9,lights on ,0,lights on ,90,91,lights off,37,lights on
0,33,lights on ,0,lights on ,84,91,lights off,54,lights on
0,8,lights on ,0,lights on ,83,98,lights off,0,lights on
0,23,lights on ,0,lights on ,71,88,lights off,0,lights on
0,24,lights on ,0,lights on ,79,88,lights off,0,lights on
0,28,lights on ,14,lights on ,79,93,lights off,18,lights on
0,20,lights on ,8,lights on ,77,79,lights off,7,lights on
0,42,lights on ,0,lights on ,84,88,lights off,66,lights on
0,4,lights on ,0,lights on ,84,64,lights off,41,lights on
0,14,lights on ,0,lights on ,81,60,lights off,24,lights on
0,31,lights on ,0,lights on ,72,79,lights off,56,lights on
0,0,lights on ,0,lights on ,66,74,lights off,9,lights on
0,4,lights on ,0,lights on ,56,83,lights off,53,lights on
0,0,lights on ,0,lights on ,51,81,lights off,47,lights on
0,2,lights on ,0,lights on ,87,88,lights off,0,lights on
0,0,lights on ,0,lights on ,78,83,lights off,52,lights on
0,0,lights on ,58,lights on ,80,82,lights off,44,lights on
0,0,lights on ,68,lights on ,65,82,lights off,23,lights on
0,0,lights on ,62,lights on ,65,81,lights off,46,lights on
0,1,lights on ,0,lights on ,47,76,lights off,74,lights on
0,0,lights on ,0,lights on ,55,85,lights off,73,lights on
0,7,lights on ,0,lights on ,75,79,lights off,59,lights on
0,0,lights on ,0,lights on ,79,94,lights off,31,lights on
0,2,lights on ,6,lights on ,89,87,lights off,51,lights on
0,14,lights on ,0,lights on ,80,80,lights off,54,lights on
0,16,lights on ,0,lights on ,86,79,lights off,25,lights on
0,13,lights on ,0,lights on ,75,96,lights off,49,lights on
0,9,lights on ,0,lights on ,71,87,lights off,27,lights on
0,11,lights on ,0,lights on ,77,89,lights off,0,lights on
0,4,lights on ,0,lights on ,80,58,lights off,33,lights on
0,0,lights on ,0,lights on ,86,69,lights off,64,lights on
