X,CL_CON_4179,CL_HFD_4113,CD_CON_4045,CD_HFD_4277
132,-19.52564,-3.855466,0.1582376,-16.95388
133,-17.91167,-4.566605,-0.8640947,-16.36724
134,-16.65049,-4.256397,-1.869634,-16.60374
135,-15.61901,-4.095087,-3.28104,-17.18497
136,-15.7479,-3.734866,-4.470562,-18.14701
137,-15.706,-3.726052,-5.054665,-18.84376
138,-16.03275,-3.834496,-6.187279,-18.45164
139,-16.04687,-4.064198,-6.691644,-17.74917
140,-16.37148,-4.158757,-7.147619,-17.34543
141,-17.17531,-4.534032,-7.460818,-17.07265
142,-17.76837,-4.909715,-7.889247,-17.13377
143,-18.21798,-5.325139,-8.114484,-16.89664
144,-18.41135,-5.823238,-7.451763,-17.01715
145,-17.9622,-6.619473,-7.527603,-17.06818
146,-17.31173,-6.966936,-7.379024,-17.20995
147,-16.77447,-7.425097,-7.201763,-17.57557
148,-15.34783,-7.262554,-7.190671,-17.89228
149,-14.76082,-7.00301,-6.731535,-18.62058
150,-14.07356,-6.144673,-6.685182,-19.20566
151,-14.27306,-5.485466,-6.308212,-20.03669
152,-15.28842,-4.693028,-6.29558,-20.02362
153,-16.10758,-4.149165,-5.954252,-19.37478
154,-15.98487,-3.774829,-5.812818,-18.32774
155,-16.91241,-3.963646,-5.331268,-17.39208
156,-17.61148,-4.014884,-4.990416,-16.67573
157,-17.32026,-3.882468,-4.798933,-16.91996
158,-16.97883,-4.049921,-4.850671,-17.41501
159,-16.57616,-4.031558,-5.312214,-17.83182
160,-15.61463,-4.526197,-5.537674,-18.40341
161,-14.93401,-4.554786,-5.708063,-18.40066
162,-14.19434,-5.202623,-6.362645,-17.9327
163,-13.90872,-5.247905,-7.164472,-17.9902
164,-14.14881,-5.286897,-7.223487,-17.40529
165,-14.38664,-5.499799,-5.554034,-16.24176
166,-14.59635,-4.464899,-6.095238,-16.09437
167,-14.85325,-3.953993,-6.262459,-15.6193
168,-15.09008,-4.113465,-7.121381,-15.25852
169,-15.85673,-4.087027,-7.793769,-14.39871
