CL_f1,CL_f2,CL_f3,CD_f1,CD_f2,CD_f3
0,0,4,58,80,33
0,0,0,69,86,64
0,0,0,70,72,32
0,0,0,79,89,20
0,0,0,79,87,57
0,0,0,68,88,9
0,0,0,76,87,58
0,0,0,72,60,64
0,0,3,77,70,80
0,0,8,76,83,81
0,0,0,84,83,33
0,0,0,86,87,39
0,0,0,97,92,82
4,0,0,90,81,61
14,0,3,84,85,55
3,0,4,79,81,72
0,0,1,86,60,90
0,0,0,84,69,62
0,0,0,74,86,48
0,0,0,83,77,86
0,0,0,85,71,80
22,0,0,89,77,49
13,5,0,85,75,59
28,0,0,75,2,58
18,0,0,90,0,42
12,0,0,90,6,63
2,0,0,85,24,60
0,0,0,90,57,43
0,0,8,79,17,71
20,0,0,79,8,34
0,0,0,93,12,25
0,0,0,87,44,0
0,0,0,85,79,22
0,0,0,87,77,0
0,0,0,98,59,0
0,0,0,84,72,0
0,0,0,92,78,45
0,0,0,79,76,57
0,0,0,63,85,42
0,0,0,45,83,56
0,0,0,80,84,35
0,0,0,84,41,17
0,0,0,82,25,25
0,0,0,95,58,49
0,0,0,92,53,37
0,0,0,87,85,59
0,0,0,87,85,60
11,0,0,90,81,72
0,0,0,96,47,53
0,0,0,94,76,73
0,0,0,86,79,43
0,0,0,79,85,37
0,0,0,89,80,64
0,0,0,84,88,46
0,0,0,90,85,65
0,0,0,86,89,40
0,0,0,84,66,51
0,0,0,79,83,0
0,0,0,83,82,50
0,0,0,81,92,69
0,0,0,72,88,81
63,0,0,86,91,77
38,0,0,91,83,92
28,0,0,83,87,80
46,0,0,91,76,61
0,0,0,78,86,80
0,0,0,86,82,58
0,0,0,83,88,50
0,0,0,84,72,75
0,0,0,85,74,14
0,0,0,79,87,40
0,0,0,86,78,50
0,0,0,83,75,35
0,0,0,93,76,79
0,0,0,93,73,88
3,0,0,89,71,57
6,0,0,92,74,72
0,0,0,69,92,55
0,0,0,77,85,51
0,0,0,26,74,54
0,0,0,55,48,43
0,0,0,65,10,86
0,0,0,61,43,78
0,0,0,87,82,66
38,0,0,88,70,72
39,0,0,91,61,31
27,0,0,88,77,75
21,0,0,92,79,80
27,0,0,73,92,51
36,0,0,96,90,63
30,0,0,96,82,53
0,0,0,84,75,79
0,0,0,70,92,64
7,0,0,56,86,79
5,0,0,63,88,70
0,0,0,69,85,54
0,0,0,92,81,67
0,0,0,91,40,66
0,0,0,92,41,15
0,0,0,88,58,51
6,0,0,89,29,57
0,0,0,58,29,42
0,0,0,70,36,80
0,0,0,67,88,70
0,0,0,86,76,39
0,0,0,86,87,62
25,0,0,85,93,51
11,0,0,81,88,60
0,0,0,78,77,58
0,0,0,87,75,47
0,0,0,52,65,45
0,0,0,60,48,43
0,0,0,71,66,71
0,0,0,79,89,74
0,0,0,52,83,53
0,0,0,72,82,68
0,0,0,32,81,83
0,0,0,82,80,73
0,0,0,89,86,35
0,0,0,78,72,28
0,14,0,87,82,59
0,9,0,82,88,58
0,0,0,75,87,47
0,0,0,83,79,52
0,0,0,90,77,61
0,0,0,89,83,56
0,0,0,92,79,29
0,0,0,87,85,63
0,0,0,93,81,81
0,0,0,87,76,58
0,0,0,78,79,59
0,0,0,86,85,57
0,0,0,86,89,56
0,0,0,89,91,50
0,0,0,90,83,84
0,0,0,90,88,86
0,0,0,89,78,92
0,0,0,93,82,77
0,0,0,85,82,76
0,0,0,79,84,79
0,0,0,89,88,70
0,0,0,89,81,65
0,0,0,93,76,47
0,0,0,85,81,57
0,0,0,88,92,59
0,0,0,87,84,81
0,0,0,65,84,85
0,0,0,73,80,90
0,0,0,39,87,68
0,0,13,72,84,69
0,0,24,37,84,69
0,0,0,0,91,78
0,0,0,49,76,84
0,0,0,0,75,81
0,0,0,0,27,88
0,0,0,0,74,84
0,0,0,34,77,45
0,0,0,47,85,65
0,0,0,70,84,46
0,0,0,81,74,62
0,0,0,78,79,51
0,0,0,80,79,0
0,0,0,86,80,55
0,0,0,77,78,79
0,0,0,83,82,58
0,0,0,93,83,43
0,0,0,94,84,74
0,0,0,86,87,65
0,0,0,68,70,74
0,0,0,85,86,71
0,0,0,92,83,84
0,0,0,75,74,87
0,0,0,87,73,82
0,0,0,84,75,80
0,0,0,84,84,71
0,0,0,88,86,64
0,0,0,90,66,65
0,0,0,82,64,85
0,0,0,78,8,82
0,0,0,81,21,89
0,0,0,85,8,76
0,0,0,78,0,75
0,0,0,88,0,61
0,0,0,93,55,71
0,0,0,83,87,59
0,0,0,92,73,67
0,0,1,87,37,47
0,0,7,85,68,51
0,0,0,84,80,59
0,0,0,90,61,70
0,0,0,83,79,49
0,0,0,86,45,49
0,0,0,80,55,88
0,0,0,89,33,89
0,0,0,87,75,81
0,0,0,75,90,38
0,0,0,81,88,62
0,0,0,86,85,68
0,0,0,86,94,69
0,0,0,84,76,84
0,0,0,90,78,81
0,0,0,83,93,75
0,0,0,78,88,76
0,0,0,85,89,85
0,8,0,87,84,53
0,0,0,71,77,74
0,0,0,77,79,55
0,0,0,75,77,83
0,0,0,75,82,6
0,0,0,76,75,35
0,0,0,77,44,10
0,0,0,83,17,65
0,0,0,87,19,68
0,0,0,84,29,51
0,0,0,77,83,72
0,0,0,88,48,47
0,0,0,85,72,57
0,0,0,83,85,42
0,5,0,70,82,82
0,31,0,76,83,65
0,28,0,61,76,69
0,43,0,22,83,76
0,9,0,10,85,71
0,15,0,61,79,44
0,7,0,91,83,37
0,10,0,76,85,52
0,0,0,52,75,74
0,0,0,13,86,36
0,6,0,0,77,14
0,6,0,48,85,0
0,0,0,5,88,0
0,31,0,17,80,0
0,0,0,50,82,0
0,0,0,90,83,0
0,0,0,90,79,0
0,8,0,78,76,0
0,7,0,87,90,0
0,0,0,93,89,0
0,0,0,90,88,0
0,0,0,90,78,0
0,0,0,86,91,0
0,0,0,86,90,0
0,0,0,86,89,0
0,0,0,87,84,0
0,0,0,92,84,27
0,3,0,85,88,65
0,7,0,87,86,57
0,0,0,63,83,38
0,0,0,75,69,57
0,3,0,86,81,57
0,15,0,90,79,0
0,23,0,84,74,3
0,14,0,78,81,21
0,48,0,94,85,0
0,16,0,90,81,36
0,19,0,82,92,21
0,0,0,82,87,42
0,4,0,72,82,67
0,2,0,75,81,57
0,10,0,84,84,57
0,5,0,87,85,71
0,11,0,85,85,55
0,5,0,81,78,34
0,0,0,26,82,74
0,14,0,6,38,50
0,0,0,0,7,79
0,0,6,0,14,75
0,0,2,13,45,51
0,0,0,41,54,32
0,0,0,64,0,41
0,0,0,67,46,55
0,0,0,83,70,25
0,0,0,90,76,38
0,0,0,85,78,68
0,0,0,84,87,43
0,0,0,71,88,47
0,0,0,91,83,57
0,0,0,96,84,60
0,0,0,65,76,20
0,0,0,19,83,44
0,0,0,0,79,0
0,0,0,0,82,28
0,0,0,45,81,76
0,0,0,28,86,37
0,0,0,38,76,0
0,0,0,0,84,0
0,0,0,0,76,0
0,0,0,16,50,12
0,0,0,0,28,72
0,0,0,0,64,51
0,0,0,0,77,29
0,0,0,0,90,60
0,0,0,13,73,59
0,0,0,66,77,48
0,0,0,67,86,59
0,0,0,76,78,49
0,0,0,81,83,66
0,0,0,77,91,75
0,0,0,64,79,0
0,0,0,86,90,33
0,0,0,89,75,48
0,0,0,91,76,0
0,0,0,90,79,0
0,0,0,91,88,62
0,0,0,61,76,18
0,0,0,7,84,4
0,0,0,37,81,50
0,0,0,93,73,0
0,0,0,76,64,0
0,0,0,83,57,0
0,0,0,88,55,0
0,0,0,88,85,0
0,0,0,93,84,0
0,0,0,63,89,0
0,0,0,81,77,0
0,0,0,82,87,0
0,0,0,86,80,0
0,0,0,77,85,33
0,0,0,84,82,71
0,0,0,29,84,42
0,0,0,40,78,34
0,0,0,81,83,38
0,0,0,77,86,42
0,0,0,57,88,43
0,0,0,85,88,52
0,0,0,78,81,48
0,0,0,84,85,67
0,0,0,87,73,64
0,0,0,86,81,32
0,0,0,64,81,8
0,0,0,60,80,0
0,0,0,91,80,0
0,0,0,81,87,0
0,0,0,89,85,0
0,0,0,76,44,36
0,0,0,67,35,52
0,0,0,67,21,57
0,0,0,77,12,65
0,0,0,78,67,2
0,0,0,89,76,0
0,0,0,91,85,0
0,0,0,88,70,0
0,0,0,81,68,0
0,0,0,88,7,0
0,0,15,89,51,0
0,0,0,90,27,0
0,0,0,87,10,0
0,0,0,88,24,0
0,0,0,81,56,0
0,0,0,87,32,0
0,0,0,78,56,0
0,0,0,87,65,0
0,0,0,85,11,0
0,0,0,90,0,0
0,0,0,92,5,0
0,0,0,90,6,0
0,0,0,86,76,0
0,0,0,76,53,0
0,0,0,92,56,0
0,0,0,86,79,0
0,0,0,85,86,0
0,0,0,81,71,0
0,0,0,86,85,0
0,0,0,80,59,0
0,0,0,87,66,0
0,0,0,80,81,0
0,0,0,75,80,0
0,0,0,82,84,0
0,0,0,76,83,0
0,0,0,92,79,0
0,0,0,94,71,0
0,0,0,90,56,0
0,0,0,84,65,0
0,0,0,90,84,0
0,0,0,88,88,0
0,0,0,86,82,0
0,0,0,82,89,0
0,0,0,86,81,0
0,0,0,81,84,0
0,0,0,68,74,0
0,0,0,81,79,0
0,0,0,77,85,0
0,0,0,54,75,0
0,0,0,85,83,0
0,0,0,89,87,0
0,0,0,93,47,0
0,0,0,90,68,0
0,0,0,81,76,0
0,0,0,85,85,0
0,0,0,91,87,0
0,0,0,73,67,0
0,0,0,90,62,0
0,0,0,80,25,0
0,0,0,89,9,0
0,0,0,87,5,0
0,0,0,91,66,0
0,0,0,87,78,0
0,0,0,85,86,0
0,0,0,79,91,0
0,0,0,81,82,0
0,0,0,81,54,0
0,0,0,63,75,0
0,0,0,68,85,0
0,0,0,81,69,0
0,0,0,68,62,0
0,0,0,70,72,0
0,15,0,69,75,0
0,5,0,72,81,0
0,0,0,74,88,0
0,0,0,91,83,0
0,0,0,93,83,0
0,0,0,85,82,0
0,0,0,72,88,0
0,0,0,81,76,0
0,0,0,54,86,0
0,0,0,14,84,0
0,0,0,77,53,0
0,0,0,87,40,0
0,0,0,91,41,0
0,0,0,78,56,0
0,0,0,83,44,0
0,0,0,88,78,0
0,0,0,81,77,0
0,0,0,88,67,0
0,0,0,82,80,0
0,0,0,59,91,0
0,0,0,75,48,0
0,0,0,76,82,0
0,0,0,83,89,0
0,0,0,88,86,0
0,0,0,74,85,0
0,0,0,50,75,0
0,0,0,73,79,0
0,0,0,64,90,0
0,0,0,78,88,0
0,0,0,67,87,0
0,0,0,29,71,0
0,0,0,39,80,0
0,0,0,54,36,0
0,0,0,74,46,0
0,0,0,40,49,0
0,0,5,84,3,0
0,0,2,96,5,0
0,0,0,90,47,0
0,0,0,86,33,0
0,0,0,77,36,0
0,0,0,84,59,0
0,0,0,73,74,0
0,0,0,75,53,0
0,0,0,60,83,0
0,0,0,69,81,0
0,0,0,68,51,0
0,3,0,80,61,0
0,0,0,90,64,0
0,0,0,89,28,0
0,0,0,93,29,0
0,0,0,84,60,0
0,0,0,94,35,0
0,0,0,91,69,0
0,0,0,80,86,0
0,0,0,81,84,0
0,0,0,82,89,0
0,0,0,85,84,0
0,0,0,77,79,0
0,0,0,79,5,0
0,0,0,88,9,0
0,0,0,92,29,0
0,0,0,86,72,0
0,0,0,92,39,0
0,0,0,85,35,0
0,0,0,86,72,0
0,0,0,79,40,0
0,0,0,74,4,0
0,0,0,60,8,0
0,0,0,50,31,0
0,0,0,3,80,0
0,0,0,75,80,0
0,0,0,87,81,0
0,0,0,75,72,0
0,0,0,81,57,0
0,0,0,84,26,0
0,0,0,88,20,0
0,0,0,71,36,0
0,0,0,63,45,0
0,0,0,90,42,0
0,0,0,80,66,0
0,0,0,88,17,0
0,0,0,82,13,0
0,0,0,93,0,0
0,0,0,97,47,0
0,0,0,90,29,0
0,0,0,88,36,0
0,0,0,78,1,0
0,0,0,57,5,0
0,0,0,4,64,0
0,0,0,0,78,0
0,0,0,37,61,0
0,0,0,74,72,0
0,0,0,79,53,0
0,0,0,80,47,0
0,0,1,70,70,0
0,0,16,93,35,0
0,0,0,87,17,0
0,0,0,82,61,0
0,0,0,89,46,0
0,0,0,82,79,0
0,0,0,77,43,0
0,0,0,80,72,0
0,0,28,78,85,0
0,0,1,76,43,0
0,0,16,70,51,0
0,0,20,83,41,0
0,0,6,48,60,0
0,0,0,79,65,0
0,0,0,80,51,0
0,0,0,82,56,0
0,0,0,70,82,0
0,0,0,85,27,0
0,0,0,88,0,0
0,0,0,85,0,0
0,0,0,97,56,0
0,0,0,81,63,0
0,0,0,84,24,0
0,0,0,88,53,0
0,0,0,77,65,0
0,0,0,87,53,0
0,0,0,83,54,0
0,0,0,71,80,0
0,0,0,76,52,0
0,0,0,67,63,0
0,0,0,84,81,0
0,0,0,85,15,0
0,0,0,86,18,0
0,0,0,89,0,0
0,0,0,78,0,0
0,0,0,80,10,0
0,0,0,81,62,0
0,15,0,63,0,0
0,12,0,34,15,0
0,0,0,58,30,0
0,0,0,50,25,0
0,0,0,37,3,0
0,0,0,38,37,0
0,0,0,29,66,0
0,0,0,83,66,0
0,0,0,70,51,0
0,0,0,58,30,0
0,0,0,77,35,0
0,0,0,93,64,0
0,0,0,85,1,0
0,0,0,64,0,0
0,0,0,73,0,0
0,0,0,77,0,0
0,0,0,74,0,0
0,0,0,43,0,0
0,0,0,63,0,0
0,0,0,45,0,0
0,0,0,62,0,0
0,0,0,55,0,0
0,0,0,75,0,0
0,0,0,71,0,0
0,0,0,77,0,0
0,0,0,79,0,0
0,0,0,79,0,0
0,0,0,90,0,0
0,0,0,66,0,0
0,0,0,73,0,0
0,11,0,76,9,0
0,0,0,73,6,3
0,0,0,81,0,40
0,0,0,79,10,26
0,0,0,86,0,32
0,0,0,89,4,36
0,0,0,79,0,43
0,0,0,69,5,53
0,0,0,85,0,34
0,0,0,80,0,29
0,0,0,86,0,0
0,0,0,86,0,0
0,0,0,87,0,15
0,0,0,76,0,66
0,0,0,79,0,46
0,0,0,91,0,44
0,0,0,94,0,37
0,0,0,90,25,45
0,0,0,85,0,21
0,0,0,97,21,31
0,0,0,89,43,28
0,0,0,93,29,34
0,0,0,83,23,37
0,0,0,82,1,0
0,0,0,55,30,4
0,0,0,61,19,20
0,0,0,59,19,3
0,0,0,62,50,37
0,0,0,49,0,16
0,0,0,67,0,20
0,15,0,47,0,55
0,15,0,46,0,28
0,0,0,68,0,19
0,6,0,70,0,31
0,8,0,50,5,0
0,13,0,23,0,0
0,7,0,29,0,0
0,0,0,78,0,0
0,30,0,66,14,12
0,18,0,67,51,23
0,21,0,81,75,36
0,1,0,74,82,18
0,6,0,69,85,5
0,4,0,64,75,35
0,0,0,51,71,43
0,13,0,60,39,36
0,2,0,42,30,44
0,4,0,79,26,55
0,8,0,83,0,0
0,21,0,87,30,0
0,6,0,17,0,0
0,0,0,32,66,0
0,22,0,20,56,0
0,10,0,3,18,0
3,16,0,73,0,0
3,9,0,72,27,0
0,2,0,76,18,0
0,8,0,78,0,0
0,6,0,75,50,0
0,0,0,86,0,0
0,4,0,68,22,0
0,0,0,80,46,0
0,35,0,83,65,0
0,8,0,62,74,0
0,43,0,83,65,0
0,10,0,77,25,0
0,0,0,74,12,0
23,0,0,73,43,0
0,0,0,65,68,0
0,0,0,80,77,0
0,0,0,80,82,0
0,0,0,73,69,0
0,0,0,75,74,0
5,0,0,75,80,0
0,0,0,79,74,0
0,7,0,67,48,0
0,10,0,85,43,0
0,0,0,82,65,0
0,0,0,89,58,0
0,0,0,86,87,0
0,0,0,87,72,0
0,0,0,75,73,0
0,0,0,88,72,0
0,35,0,78,78,0
0,27,0,89,43,0
0,10,0,80,0,0
0,65,0,80,31,0
0,62,0,86,63,0
0,2,0,85,18,0
0,36,0,87,27,0
0,58,0,95,10,0
0,49,0,80,23,0
0,2,0,74,0,0
0,14,0,86,10,0
0,23,0,89,20,0
0,13,0,85,7,0
0,0,0,84,0,0
0,0,0,88,0,0
0,0,0,78,0,0
0,0,0,82,0,0
0,0,0,90,0,0
0,0,0,85,0,0
0,0,0,73,0,0
0,0,0,76,0,0
0,0,0,78,0,0
12,0,0,75,37,0
10,0,0,86,71,0
0,0,0,86,73,0
0,0,0,91,85,0
18,0,0,82,78,0
45,0,0,77,76,0
29,5,0,81,37,0
0,2,0,80,2,0
25,6,0,81,2,0
13,12,0,75,27,0
29,3,0,82,43,0
18,0,0,83,46,0
0,34,0,87,20,0
0,0,0,79,0,0
0,0,2,77,0,0
0,32,0,62,0,0
0,21,0,62,0,0
0,9,0,77,0,0
0,0,0,76,0,0
0,10,0,86,0,0
0,0,0,85,0,0
0,0,0,87,9,0
0,0,0,91,0,0
0,0,0,79,2,0
0,0,0,89,0,0
0,0,0,88,15,0
0,0,0,88,0,0
0,0,0,85,0,0
0,0,0,89,15,0
0,0,0,77,0,0
0,0,0,78,45,0
0,0,0,89,58,0
0,0,0,86,21,0
0,0,0,73,27,0
0,0,0,79,50,0
0,0,0,89,52,0
0,0,0,80,67,0
0,0,0,88,66,0
0,0,0,84,57,0
0,0,0,77,33,0
0,0,0,82,14,0
0,0,0,83,31,0
0,0,0,88,8,0
0,0,0,82,15,0
0,0,0,82,23,0
0,0,0,81,20,0
0,0,0,74,11,0
0,0,0,61,27,0
0,0,0,61,13,0
0,0,0,15,81,0
0,0,0,59,43,0
0,0,0,44,56,0
0,0,0,7,31,0
0,0,0,22,76,0
0,0,0,34,84,0
0,0,0,40,75,0
0,0,0,43,63,0
0,0,0,76,30,0
0,0,0,52,0,0
0,0,0,82,10,0
0,0,0,84,83,0
0,0,0,83,74,0
0,0,0,65,65,0
0,0,0,42,59,0
0,0,0,56,51,0
0,0,0,68,30,0
0,0,0,57,74,0
0,0,0,59,72,0
0,0,0,80,17,0
0,0,0,88,49,0
0,0,0,88,46,0
0,0,0,84,68,0
0,0,0,83,76,0
0,0,0,83,86,0
0,0,0,74,87,0
0,0,0,75,81,0
0,0,0,75,88,0
0,0,0,55,82,0
0,0,0,82,83,0
0,0,0,86,83,0
0,0,0,87,48,0
0,0,0,79,37,0
0,0,0,90,71,0
0,0,0,87,78,0
0,0,0,61,80,0
0,0,0,68,81,0
0,0,0,90,80,0
0,0,0,80,84,0
0,0,0,91,81,0
0,0,0,63,84,0
0,0,0,90,77,0
0,0,0,89,85,0
0,0,0,88,83,0
0,0,0,65,58,0
0,0,0,32,74,0
0,0,0,90,78,0
0,0,0,85,73,0
0,0,0,81,84,0
0,0,0,84,80,0
0,0,0,57,76,0
0,0,0,26,82,0
0,0,0,20,85,0
0,0,0,39,79,0
0,0,0,0,83,0
0,0,0,0,86,0
0,0,0,0,73,0
0,0,0,0,62,0
0,0,0,0,53,0
0,0,0,0,44,0
0,0,0,0,57,0
0,0,0,0,42,0
0,0,0,0,44,0
0,0,0,0,72,0
0,0,0,4,68,0
0,5,0,0,73,0
0,0,0,0,75,0
15,0,0,0,77,0
47,0,0,0,67,0
46,0,0,0,76,0
32,0,0,0,65,0
29,0,0,0,76,0
0,0,0,6,72,0
0,0,0,57,81,0
0,0,0,51,84,0
0,0,0,0,69,0
0,0,0,65,85,0
0,0,0,87,77,0
0,0,0,66,48,0
0,0,0,77,68,0
0,0,0,74,51,0
0,0,0,90,64,0
0,0,0,84,21,0
0,0,0,64,12,0
0,0,0,61,44,0
0,0,0,53,0,0
0,0,0,68,47,0
0,0,0,86,5,0
0,0,0,71,49,0
0,0,0,40,84,0
0,0,0,73,55,43
0,0,0,51,86,40
0,0,0,73,70,57
0,0,0,5,32,55
0,0,0,38,17,48
0,0,0,49,2,0
0,0,0,72,25,0
0,0,0,57,33,0
0,0,0,29,13,0
0,0,0,11,43,0
0,0,0,68,0,0
0,0,0,64,0,0
0,0,0,75,0,0
0,0,0,72,31,0
0,0,0,73,56,0
0,0,0,81,37,0
0,0,0,40,26,0
0,0,0,67,47,0
0,0,0,41,73,0
0,0,0,33,29,0
0,0,0,28,47,0
0,0,0,66,60,0
0,0,0,53,79,0
0,0,0,70,82,0
0,0,0,69,85,0
0,0,0,93,56,0
0,0,0,72,43,0
0,0,0,72,36,0
0,0,0,80,44,0
0,0,0,69,13,0
0,0,0,79,5,0
0,0,0,51,32,0
0,0,0,58,0,0
0,0,0,79,0,9
0,0,0,73,0,80
0,0,0,67,0,63
0,0,0,73,0,59
0,0,0,81,41,59
0,0,0,77,25,45
0,0,0,44,0,53
0,0,0,82,0,31
0,0,0,85,0,32
0,0,0,68,0,75
0,20,0,68,1,63
0,0,0,77,0,83
0,0,0,75,0,85
0,0,0,80,0,86
0,0,0,91,0,70
0,0,0,82,14,74
0,0,0,85,14,49
0,0,0,93,0,59
0,0,0,76,2,66
0,0,0,67,22,15
0,0,0,57,38,39
0,0,0,69,0,83
0,0,0,70,44,57
0,0,0,76,24,50
0,0,0,85,50,67
